Ablation Configuration,KGE (2022 Mega-Flood),FHV (2022 Mega-Flood),KGE (2023-2024 Future),KGE (2020-2024 Out-of-Sample),FHV (2020-2024 Out-of-Sample)
Full PG-MCH (Proposed Framework),0.812,-4.0%,0.871,0.895,-3.1%
w/o Physical Backbone (Pure Unconstrained ML),0.75,-13.3%,0.895,0.857,-7.3%
w/o Upstream Inflow (No Guddu Telemetry),0.717,-16.9%,0.86,0.845,-6.1%
w/o Antecedent Memory (No Lagged API),0.811,-6.0%,0.862,0.901,-5.3%
w/o Thermal/Evaporative Forcing (No ET/Temp),0.814,-3.1%,0.865,0.898,-5.1%
